56,renzsucaldito, Monday terror. Hahaha#UPLB #campusphotowalk #photowalk #CASA2 @ University of the Philippinesﾅ https://t.co/u8lkFbn1k6,,,
57,andreperezph, #PHVoteRoxas #UPLB,,,
58,jaykaytiel, Thank you Internet,for enabling us to be dicks more efficiently than ever. Death threats over that? We're taking butthurt to a new lvl #UPLB,,
59,myleessss," """"Kalaban ang kalaban. Kalaban ang kakampi"," nakakapagod."""" - Heneral Luna#uplb",,
60,joefrenparaiso, To be fair, I understand both sides and both sides misunderstood. #UPLB,,
61,_ivannnnn, Unwinding through viewing is effective. Try it. <ed><U+00A0><U+00BD><ed><U+00B8><U+008C><ed><U+00A0><U+00BC><ed><U+00BD><U+0083><ed><U+00A0><U+00BC><ed><U+00BD><U+0082> #uplb #freedompark #vscophile #vscocam #vscoﾅ https://t.co/CZKtjiGilp,,,
62,CLAwiiish, mapapamura nalang ako hahahahhahahahaahautak ng mga tao oh. di ko alam kung anong logic ginamit dito.  #UPLB,,,
63,DizzyMissNizzie, GRABE TALAGA ANG #du30 LOGIC. WALANG MINTIS. Dahil sa inyo, kawawa yung #UPLB student.,,
64,NashNacion, Duterte has spoken: Do not bash the #UPLB student but rather, be kind with critics and show compassion.,,
65,_ivannnnn, Went for a walk. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00BA><U+00B6><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> #vscogood #vscodaily #vscoph #vsco #vscocam #vscophile #uplb @ UPLB Campus https://t.co/eM8Ue318xR,,,
66,neenahilario," Here's my 2 cents on the #UPLB #DU30 #DuterteVisitsUPLB online word """"war""""#RespondDontReact #RespectEachtOther https://t.co/DKnEAcFdgs",,,
67,isko_algorithm," """"Those who do not move"," do not notice their chains.""""Rosa Luxemburgmagbalikwas! magtanong! kumwestiyon! para sa bayan! #UPLB",,
68,kmingcay, It's not how he asked question or how he asked for the straight-forward answer, it was the question which doesn't make sense. #UPLB,,
69,jvolbedo, #uplb,,,
70,jayson_umandap, to that #UPLB student, maging magalang po kasi. tska dun sa pagpili mo ng salita sa taong tinatanong mo, basic yan, bata ka gumalang ka :)
71,ninfa_sus_viej, Yeah, me too!  I'm so proud of you Stephen Villena!  We support you!  #UPLB https://t.co/aSu0zoSXoK,,
72,ilovealgebra14, Tangang Pinoy + Free Data = Goodbye Philippines #UPLB,,,
73,jaconxx_, Dammmn... did Mar Roxas really pay Stephen Villena 50,000 Php just to talk shit to Duterte at UPLB?#UPLB #DuterteVisitsUPLB #Duterte2016,,
74,missjover, #UPLB # IStandWithStephenVillena https://t.co/Yz89ap8OdK,,,
75,Niksus__, https://t.co/aHAY6IVu1O #UPLB #AnOpenLetterFromTheBastosUPLBSTud,,,
76,missjover, Pati cp no. ng bata niresearch at shinare dun sa ProDuterte group. They r uncontrollable kahit may issue n ang Duts camp na huminahon #UPLB,,,
77,ilovealgebra14, Naglabasan yung mga magagaling sa english na kahapon lang naman nalaman ang difference between compromise and compensate. Hayy..#UPLB,,,
78,ilovealgebra14, Naglabasan yung mga magagaling sa english na kahapon lang naman nalaman ang difference between compromise and compensate. Hayy. #UPLB,,,
79,missjover, @audreydomasian nabasa mo open letter niya? naiiyak ako at naawa sa bata.. #UPLB,,,
80,missjover, @audreydomasian hay naku, sobra,... nakakawa ang bata.. #UPLB,
81,missjover, I read the open letter of Stephen Villena,naiiyak ako na naawa sa bata. kahit nabastos siya at ang pamilya niya,he remains respectful. #UPLB,
82,jaengnozales, You know what youll get when you disagree on the majority. Like martial law on the PH Internet community #Du30 #UPLB https://t.co/BRcZRPCm3N,,,
83,gregsroc, May message daw si Rihanna sa #UPLB https://t.co/FtesgeFq8P,,,
84,jaengnozales, Context #Duterte2016 #UPLB https://t.co/CZD2SIy8DX,,,
85,garlic_more, As i watched #UPLB video, i pity the student coz it looks like he was trying to look intelligent but sorry you shouldve think first be4hand.,,
86,missjover, and now i am being bullied, just because #IStandWithStephenVillena  #UPLB,,
87,garlic_more, Kung akoy taga #UPLB hindi ko ikakahiya ang kanyang pagiging arogante. Mas ikahihiya ko yung paggamit nya ng maling words na tila engot.,,,
88,Iam_MrsJ, 6/6 #stopthehate  #UPLB #duterte #StopCyberbullying,,,
89,iamdonibanez, Tigil tigilan na yang manners na yan, sabihan nyo muna kandidato nyo bago kayo magsalita sa iba #UPLB,,
90,GreenDei, #UPLB #DU30 https://t.co/Doz0mlQ5QW,,,
91,missjover, @RodmyrDatoon That's right. bigla ko namiss ang chocnoy :) #UPLB,,,
92,holykaisoofix, i stand by stephen villena #NoToCyberBullying #UPLB,,,
93,missjover, After defending Stephen Villena last night I got this tweets from Duterte supporters #smh #UPLB https://t.co/9tN70UXknz,,,
94,sirpacquingplss, because the mass' waiting for uplb's reaction for/against their scholar. #uplb  #stephenvillena  https://t.co/eNA4kf3fTq,,,
95,sirpacquingplss, sobrang dami kong time magrant about don sa #uplb incident eno,,,
96,sirpacquingplss, Alam mo naman na plang bastos yung tao,bt kailangan gayahin? Be the bigger and better person. #stephenvillena #uplb https://t.co/HqUyoHIjdN,,
97,Crizzy0121, Sa tingin ko sinagot naman ni Duterte ang mga tanong siguro ndi lang un ung sagot na expected nila it means they just expected more. #UPLB,,,
98,zildjian16, nakakalungkot #UPLB,,,
99,EissaMarquez, it is our moral obligation to help our Pilipino people to open their minds. kampihan sa #UPLB kampihan sa #DU30?#weareallpilipinos,,,
100,janamerol, Nakapunta ka na ba ng #Davao try mo pumunta para makita mo ano nagawa ng binabastos mo. #UPLB,,,
101,janamerol, Responsive answer deserves responsive question.d maintindhan question mo. Believe me you wont be success. Wala kang respeto #UPLB,,,
102,MoxieLi, To think this #UPLB student's question phrases what we all want to ask Duterte. God bless you, kid! #PHvote2016 https://t.co/kGNJZFFHpC,,
103,lumadcharm, @mapetiteangela he bullied #Duterte too. So now they are even. All is fair in politics and war. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #UPLB,,,
104,mickeysh, #UPLB  OK naman ang punto ng Estudyante ang mali lang siguro nya is pagkakabigkas nya ng salita,"Medyo """"rude"""" lang sa pandinig ng iba.",,
105,gatasnasioco, Remember, there is a fine line between simply giving out a reaction and stating an INFORMED opinion. Be responsible. #UPLB iskos stand tall!,,
106,gatasnasioco, This is a concrete example how powerful and dangerous media is bc in some ways it can be misleading. My heart goes to #UPLB <U+2764><U+FE0F>,,,
107,jellianxkii15, Dasmag man gud ug deretso!! Hahaha#UPLB#PHVoteDuterte https://t.co/Rsy498vYsp,,,
108,mirademition, 5/5: Learn to know and weigh things before judging him. Keep your own shit to yourself and have a decent manners. #UPLB,,,
109,mirademition, 4/5: He just want a clear and direct answer from Duterte. So stop judging and bullying the UPLB student. #UPLB,,,
110,mirademition, 3/5: Just because sinagot nya si Duterte and may rebuttal does not mean that the student is arrogant and rude. #UPLB,,,
111,mirademition, 2/5: They are always quick to judge the student without knowing the whole story that happened in the forum. #UPLB,,,
112,mirademition, 1/5: Watched the viral video of the UPLB student who was bullied online. What's wrong with the people? #UPLB,,,
113,beanoagin, Increase Your Twitter #Followers<U+21D2>https://t.co/qIgWMqoHdQPMPC HAPPY KASAMA SI JANE OINEZA #UPLB RYLE OnMOR,,,
114,trishabriones01, Tell me kung ano ang basehan para mapangalanan ng ISKO o ISKA? No offense. Nababother lang talaga ako. Please watch the WHOLE FORUM.#UPLB,,,
115,BromanceManila, Duterte to supporters: Be civil, intelligent, decent, compassionate https://t.co/zqAllQYoFi #UPLB #Halalan2016 https://t.co/pIlvP6jOQv
116,matrixleader, that #uplb student  had guts now he has to run for his life  #responsibility #respect,,,
117,jinglebellxmas, #UPLB its not the schl, but the manner the student kept interrupting #duterte..pag bastos...BASTOS walang kinalaman ang paaralan,,
118,CaringalMirami, Heartbreaking. Saddening.Dudes with sound opinions, being oppressed like this. Putangina. Haha. Putangina nating lahat.#Vendetta #UPLB,,
119,renzsantosIII, Kahit kailan naman kasi hindi nagkulang ang budget, the problem ever since was the misappropriation/corruption of the said budget. #UPLB,,
120,sweetmotherof, Aba trending yung school ko ah #UPLB #hehe #panaginip,,,
121,SheenaHadap, @missjover #UPLB,,,
122,dimzruiz, FYI: Aral muna... Compromise not compensate,inulit na nga mali2 parin. Search nyo po mo pinagkaiba ng meaning. #UPLB #DuterteVisitsUPLB,,
123,hoyarkin, #RapplerSaySorryToUPLB #RapplerSaySorryToStephenVillena #dontUPLB #UPLB,,,
