100,A_L_E_X_19,"Kala ko si Gio yung nagtanong kay Duterte <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
brotherjulsT, Tbh ayoko talagang maging president si Duterte
PHINews1, #PHVoteDuterte on governance: You have to be ﾑlikeﾒ a dictator https://t.co/gTO7qMNoyo #PHVote https://t.co/lCDheSWWYt
_avdrey, @jerometarriela wow sure na sure agad si kuya about duterte being the next pres :((
johnignacio143, @SanMiguelJane haha sumbong kta kay duterte cgeh hahaha
cJeyp, Faith to some duterte supporters permanently lost. https://t.co/v4yOTbmBj0
rsiwala, Make your voice count! Help me support @duterte_rody to be our next President via https://t.co/Ni90Vanj1p #halalan2016 #eleksyon2016
mrllacenas_, @Kuya_duterte tapos na po. pafollowback please?<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
realree888, @WengAmante  ngayon di mo na mahagilap si Mayor ng ganun2x na lamang..bz na masyado yan sa pangangampanya..Good luck Mayor #Duterte
supericawaii, kung tutuusin, chance ni duterte yun para linawin ang side nya. nasagot ba nang maayos? hindi. paligoy-ligoy by nadine lustre taena ganon
yumcake08, tang ina nung ryan yap hahah.. mang kanor be like.. hahhaha.. pag nanalo si mayor duterte ikaw una ipapatarget nun hayop ka hahahhahaha
pacificeight, Duterte camp: Binay lying, insulting Filipinosﾒ intelligence https://t.co/sGa9LyYhzP via @inquirerdotnet
elmooostreet, Napakabulok nitong damoves ng Rappler para siraan si Duterte
RodyDuterte1, Tacloban is Duterte Country Daming Supporters parang Langgam - Coverage by Cinemotion Digital Films: https://t.co/hsaSHvZJyq via
supericawaii, he was blunt. sige, less than polite, pero timely yung mga tanong. sasagot ba ni duterte nang maayos? NOFUCKINGPE
plaza_fretzel, @IrishDDizon  go for duterte ate<ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
RodyDuterte1, I added a video to a @YouTube playlist https://t.co/hsaSHvZJyq Tacloban is Duterte Country Daming Supporters parang Langgam - Coverage
ohhMJCainglet, Sige nga. I-edit mo at ilagay mo pangalan mo at pangalan ni Duterte. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> https://t.co/7qpkxP6T32
PHINews1, Poe, Duterte in tight presidential race ﾖ survey - Read: https://t.co/nIddQAIRfZ #BeFullyInformed https://t.co/nJqRPuqAci
ughdelevingne, @MCGarduque @Kuya_duterte hahahahaaha sorna naasar kase ako sa muka e mukang may gagawin masama hahaha
MayfMeyf, @lustrez don't generalize :) also, duterte is far different from trump :)
PhilippineTV, Supporters of Duterte reportedly bullied and harassed Villena after the incident. https://t.co/nTuIu42huT
missjover, Now this Duterte fans are stalking my FB.. #smh https://t.co/jvzRdTJtjL
gilbertperdez, ﾑThe Rody Duterte IﾠKnowﾒ https://t.co/Q5F1Qi02YE
PHINews1, Duterte not slighted by UP studentﾒs questioning https://t.co/y5FIN3i9Xm | @AHeginaINQ #VotePH2016 https://t.co/linkioddZr
Ljdrosario, @paulinegracej grabe to haha fan din ako ni duterte huhu
supericawaii, yeah, those were actually valid questions which duterte failed to face head-on. medyo bastos yung manner pero kebs
Joefreine, Good Evening! We offer ""FREE T-SHIRT PRINTING"" for Mayor Duterte . Just bring your own Shirt toﾅ https://t.co/sZvqvlcYmy
CrisostomoJake, Dahil pinalabas ni Duterte na maraming tao ang nag-udyok sa kanya upang tumakbo, iniisip ng mga supporters niya dinadaya siya sa surveys <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
craves4daddies, @mahiligsadick @patrickxneil duterte, mukhang kantutero. Char
cristinagiba, Seriously? Habang nagwawarlahan ang mga Duterte supporters at mga naniniwalang walang mali sa pagtatanong ng UPLB... https://t.co/YmCq8LQQ6W
LeLUtimate, Binay: KahirapanMiriam: EconomyDuterte: CriminalityPoe: AgricultureRoxas: Tsinelas ni KorinaHahahahah! <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>
ManilaForADay, WATCH: Duterte on latest SWS survey: 'O wala na, talo na' https://t.co/5pdpsJQJd6 #culture
PHINews1, Duterte camp claims gaining more ﾑconvertsﾒ despite ratings slump https://t.co/p8cg7wctaV | @AHeginaINQ #VotePH2016 https://t.co/gCqEIHEItp
Faustino_Hannah, duterte is also a great leader which gained me confidence lol.kaya nagka crush ren ako kay duterte at kay marlou eh kasi ampogi nila <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0093>
d4th, matatalo si duterte. https://t.co/MtnIhgEbwZ
Franckxethee, Teacher Gelo's Blog: Mayor Rodrigo Duterte, Confronted by a UPLB Studen... https://t.co/I7oB3xvZ6r
marydenapril, so i just told my mom about my plans for duterte's arrival tomorrow and she just went hysterical af <ed><U+00A0><U+00BE><ed><U+00B4><U+0090> WHAT DID DUTERTE EVER DO TO U MOM
AlexGGGGGGGG,@Kuya_duterte Matagal na kitang finallow kuya duterte :)",,,,,,,
101,swikey, Precisely this, on political discourse https://t.co/qHi4L1Crms,,,,,,
102,xhotie, Interrupting Rodrigo Duterte via @rapplerdotcom https://t.co/IPY0JL7nnz,,,,,,,
103,AntonioJuanIsHe, So what if I don't support Duterte? LOL. I don't bash u for supporting him. So don't bash us for supporting other candidates. LOGIC.,,,,,,,
104,aquinojb558, @Kuya_duterte @HugotPost haha ganun?,,,,,,,
105,PHINews1, UP student: I meant no disrespect for #Duterte https://t.co/V7lebJG4lC | @AHeginaINQ #VotePH2016,,,,,,,
106,Faustino_Hannah, kaya idol ko si duterte kasi nagpapakatotoo sya. nagmumurasya kasi nasanay eh. tapos d lahat ng trends sinusunod nya.,,,,,,,
107,jayrcastillo24, Rabid Duterte supporters are at times worse than Marcos hardcore supporters.,,,,,,,
108,PHINews1, #Duterte to rivals: Waive secrecy on bank accounts https://t.co/oKqeL59dbl | @Team_Inquirer #VotePH2016 https://t.co/qGh1HVn3sX,,,,,,,
109,AlexGGGGGGGG,"@Kuya_duterte @HugotPost Oo nga naman. May point ka. Hahaha :)
ABSCBNNewsLife, WATCH: Duterte on latest SWS survey: 'O wala na, talo na' https://t.co/oikdBJmX4Z
Lakaytacio, Duterte sees Marcos as a ﾓheroﾔ, will allow burial at Libingan ng mga Bayani",,,,,,,
110,raggster, @missjover @macronikki I no longer expect anything worthwhile from Duterte rabids. Ibang level of troll.,,,,,,,
111,dwardperlado, @chaiipotato sana alam yan ng ibang supporters ni Duterte.,,,,,,,
112,TheMeanFatGuy, I know you don't like him bec you have your reasons,I like him because of a lot of reasons.it is Duterte for President for me! #DU30,,,,,,
113,aprilangelaaa, @annacuasay @Kuya_duterte daming pipila sa'yo. Famous ka bigla <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B9><U+008C>,,,,,,,
114,PHINews1, Duterte, Cayetano urge rivals to make bank accounts public #Eleksyon2016 https://t.co/NuWVryWICZ https://t.co/GkZChGdoEP,,,,,,
115,PHINews1, Davao City Mayor Duterte asked his supporters to stop bullying his critics in social media. https://t.co/Knx1ljopS0 https://t.co/4OL3iXQPWN,,,,,,,
116,02Majoy, Duterte 2016 https://t.co/Z5SeehmAzm,,,,,,,
117,OverdriveArctik, I feel like Duterte is the candidate for those that want the easy way out of problems, no matter how unjust the means.,,,,,,
118,viadmnc, @iamkarrenmiles pag naging presidente si duterte,,,,,,,
119,Moj_bae, Kapoy man ak pero enjoy liwat kay adto tam papa duterte. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Lolove.,,,,,,,
120,jn8fr, @ritcheroi how do u get the duterte emoji?,,,,,,,
121,aprilangelaaa, @annacuasay @Kuya_duterte idol na talaga kita. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><U+2764><U+FE0F> Pa autograph miss <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,
122,kerwin_patrick, @aeLmo_ @PhilstarNews kelan? ung sinabi ko na duterte ako?,,,,,,,
123,yahboykenn, kung ano ano pinagsasabi ng up student amputa masabi lang na binabara si duterte eh lmfao,,,,,,,
124,theCuteDesigner, Duterte https://t.co/6yNJCCMVlm,,,,,,,
125,gwapito," The camp of Rodrigo Duterte called on their supporters to """"exercise civility", intelligence, decency and... https://t.co/FDX0Vi3J9R,,,,,
126,aivel_tuico, Oooppsss bully duterte.  https://t.co/BB2ev47X40 #notoduterte #eleksyon2016  #notocyberbullying,,,,,,,
127,jhxyplm, @maykelandrew Wag tayo kay Duterte! Doon tayo sa opinion. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,
128,PHINews1, #Eleksyon2016: UPLB student to Duterte supporters: I meant no disrespect https://t.co/5NOZVvCxlS https://t.co/HhxsItZEVX,,,,,,,
129,preppyRENZ," Rappler's Curato urges us to have more """"Interruptive Politics"""" as a positive way of looking at the UPLB issuehttps://t.co/GHzLCBl0R7",,,,,,,
130,PHINews1, #Eleksyon2016: Duterte camp calls on supporters to exercise civility and decency https://t.co/EOR3YEWci9 https://t.co/vq7qxBs8Ze,,,,,,,
131,mitch_bendijo, @Aricaxsantos @Kuya_duterte  Ryan yap gaming amp,,,,,,,
132,maykelandrew, Dun ako naiinis sa supporter ni Duterte na nang babash dun sa UPLB student hindi mismo sa kanya ,Gets?hahaha @jhxyplm,,,,,,
133,CjLagatuz, He didn't even acted violently abt it. https://t.co/yrAtJ2nedc,,,,,,,
