tellexcope, gay president(?) kopiko duterte uplb student bagong mang kanor...yehey for my country
cfkpelaez, sguro the stud from uplb should have just respected duterte enough to let him answer properly, regardless of time. it's common courtesy.
thewendynator, tangina ang lala nung may facebook page na ""RIP *name of UPLB student who humiliated Duterte*"" TANGINA NIYO MAHIYA KAYO
noy_barcelona, UPLB student: No intent to disrespect Duterte https://t.co/5hRyYtFjPD
yiechay, Ngayon ko lang nabasa mga comments sa facebook regarding Duterte and UPLB, at nakaka agit pala talaga grr
Duterte24x7, UPLB student disrespectful to Duterte breaks silence | https://t.co/rzB14YsZgl #PHVoteDuterte
__mrbg, i dont think there's pambabastos on the UPLB- Duterte thing
markiiology, Mayor Duterte VS UPLB student (Stephen Villena) https://t.co/4JgqYY4myi
kurarisa22, Real talk though.UPLBStephen VillenaDuterte https://t.co/cNaEf4oxcl
xxmkgrace, ""Duterte disrespects women and no one bats an eye.One UPLB student 'DISRESPECTS' Duterte and everyone goes... https://t.co/lk9NdA1pF2
baekbansot, this uplb student and duterte exchange is alr blowing out of proportion
UkBorderNews, UPLB student: No intention to disrespect Duterte - Philippine Star https://t.co/wqJuRBFyks #uk #fb
mykelpilapil, Lol.. Sya c stephen.. Bastos c stephen..Daig pa ni stephen ang d nakapag aral..Yan c Stephen..Wag tularan..... https://t.co/43hGDg7wiH
bLEOivy, Nung kwinestyon ng UPLB si binay, tuwang tuwa pero ng si Duterte na ayun nagwawala. Wth
dzrhnews, UPLB student na pinuputakte sa social media sa pambabastos kay Mayor Digong Duterte, nagpaliwanag #RapidoHatawAlas6
mykelpilapil, Madalas mas nakaka ignorante ang pagiging bilib sa sarili. Nakaka bobo.. Freshmen plang xa. Dapat yan hind... https://t.co/7m2Ys37mOk
realphpride, Mar Roxas Allegedly Paid UPLB Student Stephen Villena P50K to Sabotage Duterteﾒs Forum https://t.co/0dokY8Szi8
gigilyamor, UPLB Student Releases His Side On The Controversial Video Disrespecting Mayor Rodrigo Duterte https://t.co/Csuzi1OoDI
giselleallyn, Hindi ko sobrang bet si Duterte pero mali yung ginawa nung UPLB student. Masyadong nagmamarunong. Tss.
Ideal_Views, Former UPLB prof tells student who asked Duterte:You can stand up for your cause without being rude https://t.co/VK83djSKmD via @kickerdaily
jam_paulo2, UPLB Student Releases His Side On The Controversial Video Disrespecting Mayor Rodrigo Duterte https://t.co/rnuvEdQWAt utoy your way too far
elenajoys, Okay, so that UPLB student said that Mayor Duterte was in a hurry, and that's the reason why he requested for an immediate answer...
Metaporista, Stephen Villenaﾒs Open Letter (Duterte-UPLB issue) https://t.co/Z346SGND4T https://t.co/VlNuWHuVi6
vlrdcls, @MrvcBrj ewan ko na nga din ba dyan kay Duterte. Pero wow thanks sa kanya ha, naging super villain ang UPLB students. Infairness. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Duterte24x7, Estudyante ng UPLB na nambastos kay Duterte nag-sorry | https://t.co/8K14RXsLV1 #PHVoteDuterte
abijoyceangel, ngayon ko lang napanuod ung duterte vs. uplb student <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>
unwrapbyun, marami akong makakaaway pag sinagot ko lahat ng posts ng fb friends ko abt sa issue ng pambabastos kuno ng isang uplb student kay duterte
