marwilliee,Steph supporting Duterte https://t.co/2PMan0wNt3
vl_fe,"I'm for Duterte-Marcos!<ed><U+00A0><U+00BD><ed><U+00B8><U+008E>

you should know by now...bow wow wow!"
aljohnparinas,Tweets ni koya duterte grabeee <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
chinitambok,X - Duterte-Cayetano tandem tops Misamis University mock polls https://t.co/zan85Ryi8v
msalvamarjorie,"""@Kuya_duterte: Sabi ni crush tetext niya daw ako pag-uwi. Puta wala ata siyang bahay"" HAHAHAHAHA gagi"
iSupportMRRD,RodyDu30: RT twit2millions: Walang makakapigil na pabebe kay Duterte sa Tacloban ;) #PHVoteDuterte Kabahan na sila ... ﾅ
iSupportMRRD,RodyDu30: RT ADutertistas: The Oligarch never wanted change. They never want a Duterte presidency. The Filipinos will not be silenced anymoﾅ
iSupportMRRD,RodyDu30: RT PHVote: Rody Duterte talking about Mar Roxas to Tacloban crowd: He cannot handle a crisis. #PHVote https://t.co/tdnNPVgWE0 | ﾅ
iSupportMRRD,"RodyDu30: RT Duterte4Pres16: Massive Tacloban crowd now at #PHVoteDuterte rally, saksihan https://t.co/lLlLZqPn7f Duterte #DuterteAko"
iSupportMRRD,RodyDu30: RT Ideal_Views: Davao City takes centerstage in Duterte political ad  #PHVoteDuterte   via rapplerdotcom https://t.co/0OU7C32vfnﾅ
iSupportMRRD,RodyDu30: RT PHVote: Large crowd in Tacloban cheers as Duterte hits Mar Roxas over gov't response to Yolanda. #PHVote ﾅ
iSupportMRRD,RodyDu30: RT alfrederick_: Duterte supporters: the tumors that continue to infiltrate civilized political discourse in the country. - Josh ﾅ
iSupportMRRD,"RodyDu30: RT rapplerdotcom: Duterte: Maski Lumad, Kristiyano, Muslim, I have the solemn duty to uphold peace in this country. #PHVoteDutertﾅ"
iSupportMRRD,"RodyDu30: RT News5AKSYON: Motorcade ng Duterte-Cayetano tandem, umarangkada na sa Tacloban city #BilangPilipino https://t.co/N4pvMBrDBG | ﾅ"
iSupportMRRD,"RodyDu30: RT News5AKSYON: Libo-libong Duterte supporters, dumagsa sa public rally sa Tacloban city #BilangPilipino https://t.co/ATRJiBQ2Yvﾅ"
iSupportMRRD,"RodyDu30: RT jhoyski927: Duterte: It's the government itself that's oppressing the people.
#PHVoteDuterte Duterte #DuterteAko"
iSupportMRRD,"RodyDu30: RT jhoyski927: Live Stream: https://t.co/BgQvWDkWYk
Duterte at RTR Plaza.. 
#PHVoteDuterte https://t.co/JypyiVZ6d3 Duterte #Dutﾅ"
iSupportMRRD,RodyDu30: RT jhoyski927: Duterte: Mga kapatid kong Muslim. Huwag muna tayong mag-away. Magkakapatid tayo. #PHVoteDuterte Duterte #DuterteAko
iSupportMRRD,"RodyDu30: RT jhoyski927: Duterte: Pag dinaya tayo, eh di magwala na kayo.
#PHVoteDuterte 
Oh! yeah! Duterte #DuterteAko"
iSupportMRRD,RodyDu30: RT PhilippineStar: Duterte arrives past 6:00; offers prayer to Yolanda victims with Cayetano. #BilangPilipino | iambertramirez ﾅ
Loooovejackie,"Sabi nila may anti-smoking law sa davao, iboboto ko na si duterte! <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>"
BroadcastPH,"BREAKING NEWS!: WATCH: Duterte on latest SWS survey: 'O wala na, talo na': MANILA - Presidential... https://t.co/mnhzodBC7r (from abscbn)"
newsphilippines,"WATCH: Duterte on latest SWS survey: 'O wala na, talo na': MANILA - Presidential aspirant Rodrig... https://t.co/H75M70mFkd (via ABS-CBN)"
chuan_sheila,Rodrigo Duterte being welcomed with loud cheers from Eastern Samar supporters #Duterte2016 #Duterte #PHVoteDuterte https://t.co/hV0hrHHil7
ndumaguit,Tone...delivery..choice of word...the way this student  convey his question is not academic...HIS MOTIVES IS... https://t.co/HGaqEqL2t1
kimgreysu,@Kuya_duterte @PatamaPost AHHAHAHAHAH kaGV to
jhonelmanangkil,@itsdtoruiz yan yung rason kung baket kailangan si duterte e.<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>
ninnalacierda,"""@Kuya_duterte: Sabi ni crush tetext niya daw ako pag-uwi. Puta wala ata siyang bahay"" paasa <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>"
socraticjvnkie,"things i can't stand
1. baby talk
2. duterte's fans
3. duterte"
meah_unilah,"""@Kuya_duterte: Sabi ni crush tetext niya daw ako pag-uwi. Puta wala ata siyang bahay"""
rialanearriza,Duterte: Some questions at UPLB forum were 'a bit silly':https://t.co/KDMTFUNxpK via @ABSCBNNews
Plethoric30,Which is more scarier Invasion of China Or electing a president nt named Duterte. If Bobotante wins  again. God help us all.!!!
handsome_virgin,"Love it !!! 
Duterte and santiago pala ang bet ng alter world <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>"
ascannyy,Grabe mag-react 'yung mga supporter ni Duterte. Di naman ganun kalala 'yung pagtanong ni Stephen kay Mayor eh. Pero pag kay Binay???
chardy_obrero,The Change is now approaching. #Duterte https://t.co/rvOIx9g90w
supericawaii,"y was the student rude, u ask? he was blunt. last part of Q&amp;A, duterte was 1.5 hours late &amp; di concise sumagot so someone had to take charge"
RnSo,It felt so good putting a Duterte fan in her place. Such self-righteous indignation when she has not proven anything yet. lol!
Moj_bae,Happy gud ak nga nkit'an ko hi Papa Duterte oi. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Thanky god <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
dongskie_,DuCay2016  Duterte pa din ang boto ko  https://t.co/3Kht9SkifS
alyannaaavenice,"@thalianese para patas. Nayakan pala duterte kanina, equality kuno hahaha kun ano bawal ha iya, bawal dapat ghap ha tanan hahaha"
sircmon,"I liked a @YouTube video https://t.co/q3VMF4wVxm DUTERTE &amp; Co. in Tacloban featured ""live"" on The NEXT FACTOR"
hindiakobanko,"From...stephen villena
( sya po un student from UPLB n nag tanong kay mayor Duterte) let us read nman un side nun... https://t.co/oA4Tjutyid"
usa_albarracin,"Mayor DUTERTE live at TACLOBAN CITY,
ITO BA SINASABING NG SWS NA PANG APAT LANG SA SURVEY???BALIW!SWS SURVEY... https://t.co/vnFnQ78up3"
dongskie_,"Duterte Cayetano supporters Wanchai stadium, Hongkong  https://t.co/VkkrBq277w"
TakeoneBuyone,"@meemeet10 @Ellesor_Lawin un prang my nkausap n isa. Akala nya lahat na 
https://t.co/t3uc7pZUaW 
#PHVoteDuterte"
RavenRchavez,mga kababayan mamili nalang kayo si poe or duterte 2 nalang ang pamilian nyo mas sigurado pa ang gaganda ng phinas kaysa kurap ang piliin
PHINews1,This video has been making the rounds on social media. A UPLB student grilled Mayor Duterte in a forum. | Watch: https://t.co/wTNArSBvvi
cathxnahcath,"Mayor Rodrigo Duterte in Tacloban City 
You're my President <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
#ParaSaPagbabago https://t.co/1E0bMNK61C"
PHINews1,"Duterte to supporters: Be civil, intelligent, decent, compassionate https://t.co/mKnSj546VH #PHVote https://t.co/ElxtG5nrbN"
ndumaguit,Common word after damage was done...no intention is not an excuse..rather this manifest a bigger... https://t.co/6iJIRHqJUf
adriyummm,Rappler attempts to hold it against Duterte but ends up endangering a UPLB student. Media drives people crazy. https://t.co/1GHDeSjxNF
BrianMesias2000,"American poll speaker compares Duterte to Trump, Poe to Cruz https://t.co/O0cnbFgAlX via @YouTube"
NeverDuterte,@cutechikkadoll Kapag nanalo si Duterte talo tayo dahil magiging immoral na leader ang maluluklok sa puwesto. Hindi pa kagalingan.
susan_tismo,COINS.ph Ginagamit Sa Panlilinlang Ng Duterte Supporters https://t.co/PLD3cCx9Lv via @wordpressdotcom
ecaiabarca,"Kahit kanino mo pa gawin yun kahit hindi kay Duterte tataas talaga kilay ko sayo. 
Walang modo!"
PHINews1,"WATCH: Boxer wears 'Duterte 2016' on trunks, gets knocked out https://t.co/gnDpRJLt5G #PHVoteDuterte #PHVote https://t.co/VFVRf24taB"
jerometarriela,duterte supporters double standards. 1.)  Ayaw nila nababastos si Duterte 2.) defending him and being ok on having a kissing spree on women
k_Nickie,marcopolodavao see you there Tita Maida at Maireen mayor duterteﾅ https://t.co/trF752dec0
PHINews1,UPLB students to #PHVoteDuterte: Give us direct answers https://t.co/sKbrwmeKFq #PHVote https://t.co/Qu9bkdhCho
mykryptonite8,always Duterte for President &lt;3
BSiador,Wala daw tuwid na daan sabi ni Duterte puro daw kulubot. <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4> https://t.co/QnsYIfjUvM
23playmaker,Pag mu daog si Duterte kami nalng mga goodboy ang mabilin :v :v
RodyDuterte1,"Tacloban is Duterte Country Daming Supporters parang Langgam! :)

Credit : by Cinemotion Digital Films

WATCH... https://t.co/fuKyRLv0Xx"
clint_cmac,"On the one hand, Duterte did't feel disrespected because he understands the vigor of the youth but on the other... https://t.co/X7pxMEHL3d"
A_L_E_X_19,Kala ko si Gio yung nagtanong kay Duterte <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
brotherjulsT,Tbh ayoko talagang maging president si Duterte
PHINews1,#PHVoteDuterte on governance: You have to be ﾑlikeﾒ a dictator https://t.co/gTO7qMNoyo #PHVote https://t.co/lCDheSWWYt
_avdrey,@jerometarriela wow sure na sure agad si kuya about duterte being the next pres :((
johnignacio143,@SanMiguelJane haha sumbong kta kay duterte cgeh hahaha
cJeyp,Faith to some duterte supporters permanently lost. https://t.co/v4yOTbmBj0
rsiwala,Make your voice count! Help me support @duterte_rody to be our next President via https://t.co/Ni90Vanj1p #halalan2016 #eleksyon2016
mrllacenas_,@Kuya_duterte tapos na po. pafollowback please?<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
realree888,@WengAmante  ngayon di mo na mahagilap si Mayor ng ganun2x na lamang..bz na masyado yan sa pangangampanya..Good luck Mayor #Duterte
supericawaii,"kung tutuusin, chance ni duterte yun para linawin ang side nya. nasagot ba nang maayos? hindi. paligoy-ligoy by nadine lustre taena ganon"
yumcake08,"tang ina nung ryan yap hahah.. mang kanor be like.. hahhaha.. 
pag nanalo si mayor duterte ikaw una ipapatarget nun hayop ka hahahhahaha"
pacificeight,"Duterte camp: Binay lying, insulting Filipinosﾒ intelligence https://t.co/sGa9LyYhzP via @inquirerdotnet"
elmooostreet,Napakabulok nitong damoves ng Rappler para siraan si Duterte
RodyDuterte1,Tacloban is Duterte Country Daming Supporters parang Langgam - Coverage by Cinemotion Digital Films: https://t.co/hsaSHvZJyq via
supericawaii,"he was blunt. sige, less than polite, pero timely yung mga tanong. sasagot ba ni duterte nang maayos? NOFUCKINGPE"
plaza_fretzel,@IrishDDizon  go for duterte ate<ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
RodyDuterte1,I added a video to a @YouTube playlist https://t.co/hsaSHvZJyq Tacloban is Duterte Country Daming Supporters parang Langgam - Coverage
ohhMJCainglet,Sige nga. I-edit mo at ilagay mo pangalan mo at pangalan ni Duterte. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> https://t.co/7qpkxP6T32
PHINews1,"Poe, Duterte in tight presidential race ﾖ survey - Read: https://t.co/nIddQAIRfZ #BeFullyInformed https://t.co/nJqRPuqAci"
ughdelevingne,@MCGarduque @Kuya_duterte hahahahaaha sorna naasar kase ako sa muka e mukang may gagawin masama hahaha
MayfMeyf,"@lustrez don't generalize :) also, duterte is far different from trump :)"
PhilippineTV,Supporters of Duterte reportedly bullied and harassed Villena after the incident. https://t.co/nTuIu42huT
missjover,Now this Duterte fans are stalking my FB.. #smh https://t.co/jvzRdTJtjL
gilbertperdez,ﾑThe Rody Duterte IﾠKnowﾒ https://t.co/Q5F1Qi02YE
PHINews1,Duterte not slighted by UP studentﾒs questioning https://t.co/y5FIN3i9Xm | @AHeginaINQ #VotePH2016 https://t.co/linkioddZr
Ljdrosario,@paulinegracej grabe to haha fan din ako ni duterte huhu
supericawaii,"yeah, those were actually valid questions which duterte failed to face head-on. medyo bastos yung manner pero kebs"
Joefreine,"Good Evening! We offer ""FREE T-SHIRT PRINTING"" for Mayor Duterte . Just bring your own Shirt toﾅ https://t.co/sZvqvlcYmy"
CrisostomoJake,"Dahil pinalabas ni Duterte na maraming tao ang nag-udyok sa kanya upang tumakbo, iniisip ng mga supporters niya dinadaya siya sa surveys <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
craves4daddies,"@mahiligsadick @patrickxneil duterte, mukhang kantutero. Char"
cristinagiba,Seriously? Habang nagwawarlahan ang mga Duterte supporters at mga naniniwalang walang mali sa pagtatanong ng UPLB... https://t.co/YmCq8LQQ6W
LeLUtimate,"Binay: Kahirapan
Miriam: Economy
Duterte: Criminality
Poe: Agriculture
Roxas: Tsinelas ni Korina

Hahahahah! <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>"
ManilaForADay,"WATCH: Duterte on latest SWS survey: 'O wala na, talo na' https://t.co/5pdpsJQJd6 #culture"
PHINews1,Duterte camp claims gaining more ﾑconvertsﾒ despite ratings slump https://t.co/p8cg7wctaV | @AHeginaINQ #VotePH2016 https://t.co/gCqEIHEItp
Faustino_Hannah,duterte is also a great leader which gained me confidence lol.kaya nagka crush ren ako kay duterte at kay marlou eh kasi ampogi nila <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0093>
d4th,matatalo si duterte. https://t.co/MtnIhgEbwZ
Franckxethee,"Teacher Gelo's Blog: Mayor Rodrigo Duterte, Confronted by a UPLB Studen... https://t.co/I7oB3xvZ6r"
marydenapril,so i just told my mom about my plans for duterte's arrival tomorrow and she just went hysterical af <ed><U+00A0><U+00BE><ed><U+00B4><U+0090> WHAT DID DUTERTE EVER DO TO U MOM
AlexGGGGGGGG,@Kuya_duterte Matagal na kitang finallow kuya duterte :)
swikey,"Precisely this, on political discourse https://t.co/qHi4L1Crms"
xhotie,Interrupting Rodrigo Duterte via @rapplerdotcom https://t.co/IPY0JL7nnz
AntonioJuanIsHe,So what if I don't support Duterte? LOL. I don't bash u for supporting him. So don't bash us for supporting other candidates. LOGIC.
aquinojb558,@Kuya_duterte @HugotPost haha ganun?
