jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
attyzcb,@certifiedsonny there was someone who said that from UPLB? #Emperor'sNewClothes
BromanceManila,Duterte is 'unpresidentiable'. He didn't gave us direct answers. - UPLB students observed
MissQiqai,"Sa bastos na UPLB student na nagtanong kay Duterte:
hijo, bago ka magAngas, balik ka muna sa English101. Baka COMPROMISE, hindi compensate."
bimboy_palaboy,"Q&amp;A pressed for time. Duterte's reply long-winded. UPLB student asks for direct answer. 

Ayun, chinorvah siya ng keyboard warriors. #NKKLK"
kylejosef,Bastos yung crush ko from UPLB kasi hindi niya ako crush. Hayst grabe ka wala kang respeto sa feelings ko.
jshcasti,ganyan ba mga taga UPLB @megcabs HAHA
iRHEAplaceable,Yung sa pambabastos ni kuyang taga-UPLB kay Mayor talagang jusmiyo! Nag aral ba to ng GMRC?
sabadooow,uplb vs. ph
MkLuwal,Sana maturuan ng maigi ng upLB.  https://t.co/Gtzsfg4Vj2
sadtambay,"bbastos tlaga ng mga taga uplb na yn ... di man lan ako pinasa , ginawa ko nman best ko sa upcat ?!!"
jadine_uplb,@HitganoMae Alumni and students din po <U+263A>
dearestdaryl,"Umagang Kay Ganda Headline: 

Mga sikat na banda, nakisaya sa UPLB Feb Fairmotorsiklo at tatlong truck, nagkarambola sa EDSA."
jshcasti,savaaaage uplb student HAHAHA
GWENchanha,"Hindi ko alam yung exact na nangyari nung forum, but please, wag nyo naman sana sabihing bastos LAHAT ng UPLB students."
jelliyace,"I'm not for duterte but that UPLB student really went overboard. Konting respeto lang, koya."
jadine_uplb,"@kylaxxvii Thank you! All for the love, JaDines <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
Lenard2404,Nagtrending #UPLB dahil dun sa lalaki HAHAHAHHA
marjyxox,Grabe kabastos atong UPLB student uy. Wala siya kaila sa iyahang gisturyahan siguro. Kaluoy
johnarvinjavier,and UPLB is trending
theIRISistible,"Every time mag open ko fb and may discussion about the UPLB issue, always gid may comment nga UP students are bastos. Nekekebedtrip ne he <ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+0091>"
imsupereli,"Ayan, trending na uplb. Again."
dextercruzat,Trending na ang UPLB dahil ni Stephen Villena na BASTOS. Tanggalin yan sa UP dapat!!!
IAMRGNF,Ayoko na magbasa ng tweets sa trend ng UPLB. Daming conyong bandwagon bashers.
damienful,"Thank god Duterte did not go berserk over that kid in UPLB. He stayed calm and jokingly said, ""bomba na lang"". Sana kayo rin chill. #charot"
NivramzDL,"@VillenaStephen Stupid asshole! Ikinakahiya kana ng buong UPLB community.
Wala kang alam."
razecostales,Relax UPLB students. Let them say what they want. https://t.co/4DwYqs9qJp
jeriberlyn,"nakakastress yung issue dun sa pagvisit ni Duterte sa UPLB, pati sa Saudi nakarating"
juncobalmeo,"People getting mad at this UPLB student for being ""bastos"" by also being ""bastos"" and wishing him dead. Irony at its finest! #Duterte"
Flyhighpau,"i just cant believe that people choose sides with this uplb student vs duterte 

eh kung si binay yung ginigisa lalo niyo pang gigisahin"
AppleJayee,Agree! He put a bad name to the whole school. Im sorry UPLB. Why have a student like him. https://t.co/y5w7tk6Viq
clintzoned,"kapit lang maga kaisko/kaiska ng UPLB, katuwang natin si stat1"
NINJAYEWOLF,"duterte: started with point-leaving answer

uplb student: impatiently asked for a direct answer.

netizens: scolds him with foul words."
direkJohndr,Wala akong maisip na worst adjective sa taong ito na taga #UPLB pa man din. Don't us! <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B9><ed><U+00B3><U+00B5> https://t.co/JdCR9l8QJK
