jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
netsquareddd,@TKolektib by far the best prod I've joined sa UPLB! #LigoNaUPLB
moivillanueva,"Congrats din kay @chickenjoey_! Naks naman! First runner-up! #Gorgeous2016. Congrats, UPLB Sophia Circle. https://t.co/zzpi22HWq6"
putriciasolomon,"Left the house at 10 pm to go to UPLB

...

got home 10:30 pm

WHAT IS 12 HOURS ON THE ROAD

WHAT IS TRAFFIC"
babsthebuilder,Hi @reeseypeasy nameet ka daw ng mga friends ko! Di kami nakaabot pero narinig ka pa rin namin! (sa call <ed><U+00A0><U+00BD><ed><U+00B3><U+009E> nga lang haha!) UPLB na sunod! :)
johnarvinjavier,"UPLB crowd? Eh parang puro mga staff naman to sa kampanya ni duterte eh
#DuterteVisitsUPLB  https://t.co/Z3kqjyBB04"
lsnnbl,Nakakainis yung headline about uplb students :( ang exaggerated nung ginagamit na term kaya tuloy najujudge yung mga students.
jamesgreid,"Duterte-Cayetano, nakipagdayalogo sa mga estudyante at guro ng UPLB https://t.co/SPWsSUE3uS"
jovelyn_n,"Duterte-Cayetano, nakipagdayalogo sa mga estudyante at guro ng UPLB https://t.co/7UxwJ4zNRq"
MheaganDM,"Home from IRRI, UPLB and EK"
rdmanongsong,OMG @bjpascual notice me pls! Huhu ilang taon na kitang mahal mula pa nung dinala ka ng @upphotos2003 sa UPLB way way baaack<ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
GlydlSuelto,UPLB tomo.
pampamdenise,UPLB students disappointed Duterte answered just four questions in forum https://t.co/BsTrq0wLXr via @sharethis
jadine_uplb,"Playing videogames <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
(C) @thosectylights IG https://t.co/tHl186WXBW"
trishamacas,"Earlier in UPLB, some people tried to get inside Duterte's vehicle. #Eleksyon2016 https://t.co/vv45l7imtA"
CalumsGirl_07,@gabbyyalcala thank you boy :) #uplb https://t.co/2ar2Fxo5oX
AnnadelSapugay,"Awesome walk, thank you. Nothing beats UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+0084><U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
Watdahel_Marcel,": So dalawang mayors na presidentiables na ang bumisita sa UPLB, parehong nagke-claim na itutulad sa kanilang cities ang buong bansa."
_MrsJackReid,Nasa UPLB si Duterte kanina. Kaso may klase ako tsaka sobrang haba ng pila mga bes! Daming nag abang kung nakailang PI ang lolo mo. Haha <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
AdikTristan,"Tough crowd.
Powerless against a stampeding mob who are after selfies.
DU30 in UPLB. https://t.co/egQoj6edbh"
gma_news,Nation: UPLB students disappointed Duterte answered just four questions in forum https://t.co/HMQa97ILBZ
Jsdantis,Lakas makapagsabi na walang kwenta mga students ng UPLB. It isn`t their fault they`re disappointed. <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> I mean it`s ok to vote for him
JULESguiang,GANDINGAN 2016: The 10th UPLB Isko't Iska's Multi-media Choice Awards Teaser https://t.co/w4McRytXEP
Watdahel_Marcel,"@IrishDDizon: Magbibihis pa lang haha. Sorry, bina-backread ko pa kasi yung guesting ni Duterte sa UPLB."
FrancesNavida,Ano 'to? Sorry UPLB Version 2.0? Paki-ayos po ng mga headlines ninyo. Ilang buwan ko na kayong binoboycott. https://t.co/UXp5bY5NMP
dalenndan,birthdate @ UPLB CEAT Library HAHAHAHA @bnflr_dj #relationshipgoals #TipidDateTips <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
akaJECK01,"May naka-schedule din bang Presidential Forum ang UPLB kay Mar Roxas? If yes, when? #PHVoteRoxas"
thegenesisms,"Tatlong taon.
#TBT #AngMagandangRosas 
#DramaForChildren #UPLB #CommArts https://t.co/3ToHvLv3Up"
fritz_che18,"@ohribjeans @Tagapagpaalala Teka, saang campus kb tatakbo? Sa UPD o UPLB? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #SupportALDENvasion"
mpyendor,"Wow! Eto na yata ang pinakamahabang pila papasok ng DL Umali Hall!

#UPLB
#DUTERTE https://t.co/8fFXA4xSW8"
reneedrenzcel,hay grabe i want to roam around uplb with the squad
SeventhSeraph,"Earlier this evening. <ed><U+00A0><U+00BD><ed><U+00B0><U+0099><ed><U+00A0><U+00BC><ed><U+00BD><U+00B4>Iba sila oh! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Thanks @ricamorie <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>

#UPLB
#eMBeBehﾅ https://t.co/PO8RXzTzaR"
demostraphobia,i thought duterte will also get roasted like binay. marami rin palang pro-duterte sa UPLB. #disappointed
BroadcastPH,"NATION UPDATE!: UPLB students disappointed Duterte answered just four questions in forum: ""We wa... https://t.co/wY8IwYKW5t (fromgmanews)"
gmanewsfriends,UPLB students disappointed Duterte answered just four questions in forum https://t.co/ReWIuHMgth
gmanewsfriends,UPLB students disappointed Duterte answered just four questions in forum https://t.co/YV7tabCPQT
F_GR01,UPLB students disappointed Duterte answered just four questions in forum https://t.co/RM5bzEc3tT #philippines https://t.co/FUyJJbAshc
yenobsum,"I liked a @YouTube video https://t.co/o8Ngt4FDTa 24 Oras: Duterte-Cayetano, nakipagdayalogo sa mga estudyante at guro ng UPLB"
asshulz,UPLB's DL Umali Bldg jam-packed with @ernie_manio's disgustingly inaccurate journalism  https://t.co/QkMpo1gOho
PHLNewsOnline,[GMA News] UPLB students disappointed Duterte answered just four questions in forum https://t.co/ofGIaTQRHp
jamesgreid,UPLB students disappointed Duterte answered just four questions in forum https://t.co/SM6NWmCwuB
janedeyro,"@ any uplb org, palabas nyo kapatiran ni pepe diokno at sleepless ni prime cruz sa elbi pls!!!!!"
EATJ1N,Istg if my thesis adviser wont reply to my email I'll go back to UPLB and cry
Alfieskies,"'Cause Palarong UPLB na nextweek. 
Practice pa tomorrow!!! 
GO BOWLING RAPTORS TEAM!!"
twit2millions,"@DonAmielito @konisgrateful dami pala tao at pinagkaguluhan,salamat  mainit pala ang pagtanggap kay Mayor Duterte sa UPLB, ;) #PHVoteDuterte"
gwapito,"""We waited in the line for so long tapos for me disappointing siya... Kulang talaga. Okay siya magsalita pero... https://t.co/whmTyIrxQ1"
charlie_uno,Just posted a photo @ DL Umali Auditorium UPLB https://t.co/5qRxkfzzw8
gmanewsonline,UPLB students disappointed Duterte answered just four questions in forum https://t.co/Xrp3EMLfSA
newsphilippines,"UPLB students disappointed Duterte answered just four questions in forum: ""We waited in the lin... https://t.co/gHqYZkkv2b (via GMA News)"
WillordCapulong,@XboxSupport UPLB students disappointed Duterte answered just four questions in forum
jamesgreid,UPLB students disappointed Duterte answered just four questions in forum https://t.co/3ES3Zky80X
gmanewsfriends,UPLB students disappointed Duterte answered just four questions in forum https://t.co/FebTTgw5gH https://t.co/2Gno54ER6o
JacooobDaniel,"ﾕManila-Sta.Rosa- Batangas- UPLB-DLSC-Alabangﾕ <ed><U+00A0><U+00BD><ed><U+00BA><U+0099> literally ""Tired"" lol"
jamesgreid,UPLB students disappointed Duterte answered just four questions in forum https://t.co/KiwaygHjsQ
StevenCabalo,Earlier: Duterte's chopper (the blue one) in #UPLB (@ UPLB Freedom Park) https://t.co/SFzZSvaRQ2 https://t.co/YbQ2rUZnLB
miksas,Earlier at UPLB #PHVoteDuterte #VoteCayetano https://t.co/p3i4F0s9Yr
tristan_625,"More organized system in the upcoming UPLB events, please. I wish students who are required for the succeeding events would be prioritized."
kxthnxl,also du-30 visited uplb today i dont get why people tolerate his behaviour esp. women. have some self respect???
Casketers,"Hindi ko na kinakaya ang init sa UPLB, kaya laboratory class man yan eh walang pakielaman. #IskolarNgBayan <ed><U+00A0><U+00BD><ed><U+00B9><U+0088><ed><U+00A0><U+00BC><ed><U+00BC><U+009E><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/SBSr5dks0P"
dalenndan,Duterte @ UPLB
sepunkz,sepunkz googles: uplb persona nongratas abs cbn news
SylvanCyril,Palarong UPLB nga pero may exam naman. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
RKeiiiii,@gianruedaaaaa Nagpunta sya UPLB. Kahapon ko pa alam kaso di ako nakapunta.
Jaaiiccee,#flashbackfriday #TanglawUPLBFebFair2016 @ UPLB Freedom Park https://t.co/DNv5qVw2mE
cJeyp,Hindi naman full support ng uplb ang nangyari sa #DuterteVisitsUPLB kasi karamihan ng tagasigaw ay mukhang pinabisita lang naman sa campus.
EeniarrolL,"Strike 2 <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> grabe @ABSCBNNews, di na nadala sa UPLB https://t.co/6qHg3nyduL"
ElleAquino,Madam Miriam punta ka UPLB pls!<ed><U+00A0><U+00BD><ed><U+00B9><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
heyitsmeserene,daming chix ni pesi sa uplb <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
jadine_uplb,Totoo. Certified OTWOListas too <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> https://t.co/ERuehH4mnK
gelibass,Still hate myself because I wasn't at LB to help my Orgmates for Duterte's day in UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
jadine_uplb,#ThisTime https://t.co/9mge72kJEZ
jadine_uplb,Thanks @TVPatrol for scooping JaDine's First Month today! <U+2764><U+2764><U+2764>
JENericdrug,"@noraiturn all in all, masaya at mainit ang pagtanggap sakanya ng mga taga UPLB :)"
ughlexisreid,@jadine_uplb @bretwaw HAHAHAHA IKR <U+2764><U+FE0F>
jadine_uplb,@bretwaw Oh patience lang @ughlexisreid <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Katulad ng patience ni Robert kay Alexis para maging sila <U+2764>
jadine_uplb,A smooth-sailing relationship starts with the approval of family and family. And ofcourse God. APPROVED (ala Leah) <ed><U+00A0><U+00BD><ed><U+00B1><U+008C> https://t.co/ov5fe476Kk
jadine_uplb,Lol <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Yung sumabog ang suppressed OJDs nating lahat dahil sa mga tweet nila this day! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> https://t.co/vsKR41Woa7
MarcoZafra_,Pero ang saya sa uplb. Hahaha. Hindi ko inisip yung problem ko. Pero pagdating sa bahay eto nanaman. Hahaha.
jadine_uplb,"Sabi na eh. Gumapang si Robert to get Alexis' YES! Happy first kiddos <U+2764><U+2764><U+2764>

https://t.co/vKM3k7NhBV"
shanemndz,"Earlier today #DuterteVisitsUPLB @ D.L. Umali Hall, UPLB https://t.co/3hfN3glULX"
repenullar,They aren't UPLB students ok https://t.co/NVzBHbkabA
jadine_uplb,@ughlexisreid True. Lahat nagcecelebrate <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
kreapamatmat,Chocolate Carabao's Milk :) @ PCC in UPLB https://t.co/dz6ha5gQBm
IvanSaldajeno,"@JervyH It's a part of a series of presidential forums by UPLB, so it should be a game-changer."
ughlexisreid,@jadine_uplb Chill lang tayo kasi ang OJD nandiyan na. HAHAHAHAHA
jadine_uplb,"@ughlexisreid Hanggat hindi nauubos pagiging inserkyora nila, hindi mapapagod. Buti nalang at wala ako nababasa sa TL ko niyan kundi <ed><U+00A0><U+00BD><ed><U+00B9><U+008A>"
jadine_uplb,This is what I'm agreeing about MAS HULOG SI LALAKI <U+2764> #Forever #TheDate https://t.co/dyROMKo9mL
jadine_uplb,"Nakakatuwa basahin mga tweets niyo about today. Sige JaDines, WALA NA MAKAKAPIGIL KAHIT BIG BOSSES NG VIVA AT ABS <ed><U+00A0><U+00BD><ed><U+00B9><U+0088><ed><U+00A0><U+00BD><ed><U+00B9><U+008A>"
jadine_uplb,I agree. MAS HULOG SI LALAKI <U+2764><U+2764><U+2764> https://t.co/ShrgeUI50a
leahcru,Some UPLB students were disappointed bcoz they were expecting grilled-like-binay moments. Nope! Haha! #DuterteVisitsUPLB #PHVoteDuterte <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
Limwellito,The looooong wait will soon be over. #KapitLang #Sablay2016 @ UPLB https://t.co/p1Rl7JZ3a0
thetigeRAD,"2nd meeting for the day done:
UPLB NSTP coordinators' meeting. 
So many challenges for college coordinators.
Hayyy. Haha. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
badbacteria,@jeremyunson how was it? The Qs of UPLB students were spot on?
IvanSaldajeno,"@EscobalJessie ahh... Rody just came there for a talk, not a sign that (most) UPLB constituents are for him."
jadine_uplb,Maybe SMART is sponsoring their first month. Lol! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> https://t.co/6HDDOh8fCK
jadine_uplb,Here they go. Sharing their 1st month. These two do really know how to be generous to their fans. God bless u both<U+2764> https://t.co/njtbnKdhRT
yeolstagram,During his talk #DutertevisitsUPLB @ DL Umali Auditorium UPLB https://t.co/thGwib4A1N
jadine_uplb,@rdmanongsong @charlenearkaina @hellobangsie @JayeHanash @JaDinexWolves Robert James and Nadine Alexis po <U+263A>
yeolstagram,Hello Mayor! #DutertevisitsUPLB @ DL Umali Auditorium UPLB https://t.co/v3l1DJbwac
jadine_uplb,"Wow, may pa-cake! I love the names: Robert abd Alexis <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> A slice for me please! #TeamReal https://t.co/MiPptt4rnS"
yeolstagram,#DutertevisitsUPLB @ DL Umali Auditorium UPLB https://t.co/5DRTYed3KO
jadine_uplb,Good luck to these two! Show the world you're a worlds class. God bless you!  https://t.co/Zy5iJMarIq
PHINews1,UPLB student asks Duterte about his concrete plans: Pagod na po kasi kami sa lahat ng mga presidente na nangangako pero napapako.
Aubriray,"@OMJeanne para naman kasi sa UPLB students yung forum, bat di nila maintindihan <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>"
eonjeno,This abs reporter at uplb should be informed that not all students who went to see duterte are all his supporters
pegicornswizzle,@darlene_VR @karlaleliloluuu nasa uplb nga kanina si duterte eh ahahaha
chuan_sheila,#DuterteCayetano mobbed by thousands of students clamoring for genuine change in UPLB today #Duterte #PHVoteDuterte https://t.co/TaVfk4Ndkg
hyolo927,How's Duterte in UPLB???? XD
capitalED,Next time di na kayo makakatapak sa UPLB campus @abscbnnews
JervyH,When will Mar visit UPLB? Is he afraid that when he exited the campus he will be like Binay? Scorched and burned. HAHAHA #DuterteVisitsUPLB
testosteRoms,@amphinayr @allendotcomm UPLB mainlib kayo mag-aaral?
leahcru,"@SsanBartZ @4Duterte @fauxillustrado I saw one post nga, buti pa daw si binay. Coming from a uplb student. OMG, it broke my heart."
Imcrissable,jgh fr. uplb <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #DuterteParaSaPagbabago
ricajninelaroya,omg titas of uplb https://t.co/AXi7xbZZVz
HSHTG_BREAKFREE,"Napaka-init ng pagsalubong kay Mayor Duterte sa UPLB! Salamat po!

#DuterteVisitsUPLB"
ABSCBNNews,Correction: UPLB's DL Umali Bldg jampacked with students and supporters of Duterte. | via @ernie_manio
unwrapbyun,okay so may nakita na naman akong tweet abt how rude uplb students are well putangina nyo
OMJeanne,Honestly hindi mo mararamdaman yung presence ng uplb students sa loob
kylemcruz,"#Light and #shadow, and #trees #nature #photography #mobilephotography #UPLB @ University of theﾅ https://t.co/HNbkitZwpW"
kxthnxl,@reeseypeasy omgggg you're so near daan kang uplb!!!!!
calmtheziall,@vABStractHes nasa UPLB siya pariiiiiiii
maureenysabel,"@u_knees hi Be, yun ba dating sayo? What I'm saying lang naman for those who are saying na hindi naman daw sinusupport ng UPLB si Duterte is"
marikuabad,"They used UPLB in their statements, their false declarations"
OMJeanne,mas marami po ang mga non-uplb students and you can tell by the crowd inside na hindi siya environment for discourse https://t.co/yQZ1v1Bm6R
arugss,@dalikaunoh hindi po. student po from UPLB kaya napakinggan ko si Duterte :)
oolalai,#UPLB ! FREE Investment Literacy Seminar on March 14 oh! Don't miss this! https://t.co/odLu3uEyJh
leahcru,@4Duterte @fauxillustrado i expect a more discerning argument from a uplb student. Ni-literal ni kuya. Kudos to those who think critically.
CyberChangge,Thank you UPLB #DuterteVisitsUPLB  https://t.co/bPKOEKHGIU
Aubriray,@ABSCBNNews at syempre hindi lahat ng UPLB students dun ay supporters nya <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>. 2 generalizations in one headline. Much wow.
uplbperspective,"UPLB ITC on the several disruptions of livestreaming: ""Naputol dahil sa dami ng viewers. Di kinaya ng server."" #DuterteVisitsUPLB"
arendgreat,Hi @rapplerdotcom ... do you have full video of Duterte's conversation today at UPLB? thanks!
eveyeveeve,Corros de los Diablos with @shainalaine_mm @ UPLB Baker Hall https://t.co/37QGCv9jvM
milkybabilonia,"@sh3ysh3y Ma'am I research, and i researched a lot. esp when i was still in UPLB. I don't rely on memes, and fake sites."
Aubriray,Hindi rin lahat ng nandun ay students/faculty ng UPLB... https://t.co/yTOejEmfUu
xpeanutgalleryx,@petrosabsalon i've wondered this - did uplb get the answer?
Ijoshuant_you,Tito Rody uplb https://t.co/Q83Fhba7d8
nwynnisgood,Duterte visits UPLB
Ijoshuant_you,"Tito Rody @ UPLB
#DU30 https://t.co/CM6aVAAfrY"
_theresalargo,#DuterteVisitsUPLB omg uplb
jeaninabaterina,si Du30 nagpuntang uplb <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
missjover,Go UPLB!  https://t.co/YL4l2GSZ14
edylljoshwaaa,UHM PLS EXPLAIN THE HEADLINE @ABSCBNNews. Strike 2 ka na po sa UPLB.  https://t.co/RNXFC8Dl9F
lawvoisier,UPLB Students or faculty ba talaga yan?????? https://t.co/KscDNNRMlZ
baroncara08,Duterte nandito sa UPLB.
fauxillustrado,@frazdicstaana tapos pinagpipilitan pa nila na UPLB Supports Duterte? How about no???
palquintos,@MaCabreOnline #Uplb loves Duterte. #DuterteVisitsUPLB
palquintos,@fauxillustrado majority are supporters! Waited 2-3 hours at the line under the heat of the sun. Jampacked dl umali hall.Uplb loves duterte
rinaxrhae,"""Student supporters of Duterte"" and ""curious students of UPLB"" are two different things. Fix your crap, @ABSCBNNews."
fauxillustrado,"@jeffcrisostomo In other news from UPLB madam, sabi ni Digong proud to be leftist siya, sabay taas ng kanang kamao."
itsvjayy,Cayetano and Duterte at UPLB a while ago https://t.co/1yfH0QWQ3N
beanatasha_,Halos lahat ng UPLB students na umattend disappointed kay Duterts! Sayang. #DuterteVisitsUPLB
AlisteContreras,Remember the time when you had supporters in UPLB? Good times. @VPJojoBinay  https://t.co/AVWyYNhlR2
diarriaa,UPLB crowd? Outsiders sila.  https://t.co/tYIhBfSXD4
diarriaa,I think 4 buses yung nakita ko na puno ng supporters na hindi taga UPLB.
timtimvalenzz,"kuya @uuugggeee? ikaw ba to? hahaha

*photo from uplb perspective* https://t.co/490AJGhmIm"
UPLBGenderCtr,The UPLB Gender Center joins the nation in celebrating the National Women's Month with the following activities.... https://t.co/7LXMC7dJYN
dongskie_,https://t.co/1dpcl0qp4j   Duterte in UPLB
milkybabilonia,"@sh3ysh3y if I could, I would. i don't get what you're getting at, esp. if critical thought and productive discourse is the goal of UPLB"
grasssssya,Duterte visits UPLB <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> https://t.co/OipV6cMzA2
aa_augusttt,"Nakita ko si Duterte!!! \(^O^)/
#Duterte@UPLB"
shetsette,Sigh daming marcos apologist sa uplb https://t.co/nhUf51vmZo
KALIMDOR,"Hanggat nakikialam ang kabataan sa kinabukasan at kasalukuyan ng bayan nila, may Pag-laya ang Pilipinas. Salamat, UPLB.
#DuterteVisitsUPLB"
justnattnatt,"Honestly, between the UPLB students, there are only two candidates: Santiago or Duterte #DuterteVisitsUPLB"
AljoDolores,@deynajin @ABSCBNNews kawawa na naman po kami. Baka ma-brand na naman ang UPLB students ng kung ano ano.
pinaymomspeaks,Did the Duterte win any undecided voters from UPLB yet? #PHVoteDuterte #DuterteVisitsUPLB
RRD_Philippines,"""@ABSCBNNews: UPLB's DL Umali Bldg jampacked with student supporters of Duterte. #Halalan2016 | @ernie_manio https://t.co/SWY2XT0L5n"""
hellothisisjosh,"@rapplerdotcom nasagot ba niya 'to? Huhu, putol-putol UPLB ITC stream. Tho to be fair, Q sounds too time-constraining to be answered briefly"
ernie_manio,"Correction: UPLB's DL Umali Bldg jampacked with students, supporters of Duterte"
lanachan,"""UPLB students"" po dapat, hindi ""student supporters"" dahil hindi po lahat ng estudyante dito supporters https://t.co/8V3tVp2RQy"
KALIMDOR,"Thanks, UPLB. Kahit sino anh iboto natin, anh mahalaga,cnsubkan muna nating kilalanin cla. Maraming salamat.

#DuterteVisitsUPLB"
EscobalJessie,"Kasama n nga ung tweets ng diehard supporters.. pero malaking tulong ung sa UPLB
#DuterteVisitsUPLB  https://t.co/crx9eBk81c"
sh3ysh3y,Slamat UPLB #DuterteVisitsUPLB #PHVoteDuterte  https://t.co/JXbpZM9Cza
cienfrancisco,"#Du30 #UPLB Nako, tinext na ko ni Digong. Hahahaha https://t.co/094m5DpxgJ"
cutechikkadoll,"Tapos na ang forum. Salamat, UPLB! Next round: Debate ng netizens. <U+270C><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PHVoteDuterte #DuterteVisitsUPLB"
marcastro3210,@ABSCBNNews @ernie_manio Amazing! UPLB and women at that cavorting with DUTERTE?
DearSwiftTay,"Nakakaloka pa rin kanina. Habang nageexam sa cpc wing, biosci, yung pila sa DL Umali umabot paakyat ng main lib dahil kay Duterte sa UPLB. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
UPLBOfficial,#UPLB socsci chair Dwight David Diestro says that the forum is truento UP's tradition of critical thinking &amp; activism vis-a-vis nat'l issues
milkybabilonia,SERIOUSLY @ABSCBNNews bakit ganyan kayo magreport about presidential aspirants sa UPLB? #DuterteVisitsUPLB #PHVoteDuterte
seniorlito9999,UPLB ..  SURVEY SAID #DuterteCayetano No.1
Jajamae_,"""We don't expect it to be easy, that's not UPLB"" - @MissNoGoood HAHAHAHAHAHA <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
seniorlito9999,"bakit walang coverage sa UPLB? mga anak tanggalin ny na TFC nyo walang kwenta.
 #DuterteVisitsUPLB"
hellothisisjosh,"Ang Diliman-centric ng ""UP Naming Mahal"" AVP, tapos sa UPLB nila kinakanta, what gives? :/"
kriza_alonzo,Yoghurt from UPLB and corn flakes. <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
heycaloy,1 hour na ako sa EDSA. Puno lahat ng bus pa-Sta. Cruz. Lahat ata papuntang UPLB para marinig si Duterte magmura in person. LOL Joke lang.
ThadenSuplido,"""UPLB's DL Umali Jampacked with Student Supporters"" daw. Jusq pwede kasing politically inclined lang mga tao hayst"
kensanity007,@kensanity007 wow ABSCBN may nilabas na tweet about kay Duterte sa UPLB. Tingnan natin kung ibabalita nila mamaya sa mga nEws program nila.
EscobalJessie,"Patunay lng ito na halos lahat ng tga UPLB ay nka supprta kay Mayor.
#DuterteVisitsUPLB https://t.co/zuH6GOst0u"
paalexalex,"@ABSCBNNews CURIOUS UPLB STUDENTS PO KAMI. HINDI PO SUPPORTERS
 PAKIPALITAN PO SANA NG HEADLINE. UMAARYA NA NAMAN KAYO."
pinaymomspeaks,Kasing bagal at labo ata ng gobyerno ang livestream ng UPLB.  #PHVoteDuterte #DuterteVisitsUPLB
anondrogynous,UPLB disappointed me today.
DearSwiftTay,Ano na kaya nangyayari sa UPLB. Hahaha.
pinaymomspeaks,"Retweeted bicolboi(KSA) (@merilla2010):

thank you UPLB for your warm welcome!
#DuterteVisitsUPLB 
#Duterte2016... https://t.co/xPbbwrt0EH"
rickrick888,"#PHVoteDuterte says he can entertain two more questions from the UPLB students. #DuterteVisitsUPLB #PHVote

ﾗ Rappler (rapplerdotcom) Marchﾅ"
rickrick888,"Many UPLB students lining up to ask Duterte a question. #PHVoteDuterte https://t.co/uaNGjrRMob #DuterteVisitsUPLB | via piaranada #PHVote
ﾅ"
kensanity007,"Shoutout GMA7 &amp; ABS-CBN for not covering the Duterte forum in UPLB. Biased Media, Biased Network. 
#DuterteVisitsUPLB #PHVoteDuterte"
IMarcelo1496,Nice. Si Duterte nasa UPLB. Makapunta nga. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
merilla2010,"thank you UPLB for your warm welcome!
#DuterteVisitsUPLB 
#Duterte2016  https://t.co/fStM3Tmb7M"
rjasxxv,So UPLB meets Duterte while UPB has/had a walkout and rally today. Gee.
RRD_Philippines,"""@UPLBOfficial: Line 1 of 2 of #UPLB students waiting to ask questions. #DuterteVisitsUPLB https://t.co/jY9rg9HjWL"""
bloodbuzzed,UPLB Perspective asking the important questions https://t.co/rY1FPmRXvZ
elladapotpot,Livestream is up and running again! Thanks UPLB ITC! #DuterteVisitsUPLB
themarcoharder,#UPLB went easy on Duterte.
supergelo16,Uy nasa UPLB si Duterte!
ABSCBNNews,UPLB's DL Umali Bldg jampacked with student supporters of Duterte. #Halalan2016 | @ernie_manio https://t.co/0HhOsXZCN2
UPLBOfficial,Line 1 of 2 of #UPLB students waiting to ask questions. #DuterteVisitsUPLB https://t.co/taIgHGjE1L
jolomanansala,@paower_up Cool Kidz of UPLB
trishamacas,UPLB student asks Duterte about his concrete plans: Pagod na po kasi kami sa lahat ng mga presidente na nangangako pero napapako.
ernie_manio,UPLB's DL Umali Bldg jampacked with student supporters of Duterte https://t.co/wKFM2Q5LtW
pinaymomspeaks,"Retweeted ABS-CBN News (@ABSCBNNews):

The UPLB crowd warmly welcomes presidential aspirant Rody Duterte.... https://t.co/6ts8H1Lgyh"
rapplerdotcom,"#PHVoteDuterte says he can entertain two more questions from the UPLB students. 

#DuterteVisitsUPLB #PHVote"
rapplerdotcom,Many UPLB students lining up to ask Duterte a question. #PHVoteDuterte https://t.co/VH33MPDXj2 #DuterteVisitsUPLB | via @piaranada #PHVote
cutechikkadoll,"Kahit na-waley ang livestream sa pinaka-exciting na part, salamat parin sa effort, UPLB! #DuterteVisitsUPLB"
piaranada,Many UPLB students lining up to ask Duterte a question. #PHVoteDuterte https://t.co/6WvlGHIqzx
KALIMDOR,Salamat UPLB. :) #DuterteVisitsUPLB https://t.co/lXOsXLckgP
mapetiteangela,https://t.co/NPOKAGVKhj - NOT WORKING! Q&amp;A pa naman! &lt;/3 #DuterteVisitsUPLB
oh_maydora,"https://t.co/u1Rz1uGNW9 
#DuterteVisitsUPLB"
