"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1571","Why Duterte supporters keep saying Duterte for President without putting any substance to it?",FALSE,0,NA,2016-03-14 09:27:00,FALSE,NA,"709309847792029696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MackAnipan",0,FALSE,FALSE,NA,NA
"1572","https://t.co/3omzV88pE8.. ano na naman ang susunod na gimik.. Ang galing at talino ginagamit sa panloloko. Pagpalain sana kayo ng Panginoon.",FALSE,0,NA,2016-03-14 09:26:46,FALSE,NA,"709309788769927168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Luvski18",2,FALSE,FALSE,NA,NA
"1573","So Duterte thinks Marcos was a hero. WTF is wrong with you????!!!!",FALSE,0,NA,2016-03-14 09:26:43,FALSE,NA,"709309776786620416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mitzwrites",0,FALSE,FALSE,NA,NA
"1574","@ihateposh @missjover thanks for the effort mentioning and typing Duterte #PHVoteDuterte at least upto now napag uusapan ntin sya.tuloy lang",FALSE,0,"ihateposh",2016-03-14 09:26:42,FALSE,"709308779934908416","709309770478571520","149446996","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twit2millions",0,FALSE,FALSE,NA,NA
"1575","@piyamatienz ang tanong po ay pano daw ni duterte ang pilipinas like davao city na hindi binabawasan ang fund of edu so ibigsabihn po natl",FALSE,0,"piyamatienz",2016-03-14 09:26:37,FALSE,"709272728193208320","709309752124133376","35629750","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UAAPrltg",0,FALSE,FALSE,NA,NA
"1576","Estudyanteng binubully ng Duterte boys ipinagtanggol https://t.co/7ZQutEwEn9 via @sharethis",FALSE,0,NA,2016-03-14 09:25:44,FALSE,NA,"709309529838768128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","banderainquirer",1,FALSE,FALSE,NA,NA
"1577","Duterte ha Tacloban #PHVoteDuterte",FALSE,0,NA,2016-03-14 09:25:42,FALSE,NA,"709309518539128833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","analizaRosario",0,FALSE,FALSE,NA,NA
"1578","Stephen Villena’s Open Letter (Duterte-UPLB issue) https://t.co/Z346SGND4T https://t.co/VlNuWHuVi6",FALSE,1,NA,2016-03-14 09:25:24,FALSE,NA,"709309444488704000",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Metaporista",0,FALSE,FALSE,NA,NA
"1579","""Ikaw at ako
Tayong lahat kay Rodrigo 
Duterte para sa
Tunay na pagbabago""

-Fredie Aguilar. https://t.co/0xUFeVttST",FALSE,1,NA,2016-03-14 09:25:04,FALSE,NA,"709309362276339712",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","gabuya",0,FALSE,FALSE,NA,NA
"1580","was about to say ""we just cant ignore the fact that duterte didnt directly answered the question"" but alam na",FALSE,1,NA,2016-03-14 09:24:31,FALSE,NA,"709309223746703360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dammbledore",0,FALSE,FALSE,NA,NA
"1581","@ForEverettPH @DilimanConyos I will Vote For Duterte, and I support #PHVoteDuterte.I AM HOPEFUL ;)",FALSE,0,"ForEverettPH",2016-03-14 09:24:31,FALSE,"709307933163593728","709309221192536064","359261879","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twit2millions",0,FALSE,FALSE,NA,NA
"1582","Duterte not bothered by latest SWS poll results - CNN Philippines https://t.co/f8BL09NdI8 #filipino",FALSE,1,NA,2016-03-14 09:23:09,FALSE,NA,"709308879339806720",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NotJoseRizal",0,FALSE,FALSE,NA,NA
"1583","@siJuanIt0 @tropicalrant Pag nadinig si Duterte,iniisip sila na ang patayin!Di man lang nagtanong bakit?Ano ba kasalanan nya? #notoNerbiyos",FALSE,0,"siJuanIt0",2016-03-14 09:22:39,FALSE,"709308046841741312","709308751493386241","3908874312","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twit2millions",0,FALSE,FALSE,NA,NA
"1584","Why do people ask for a Poe/Escudero-like answer the fact that they're talking to Duterte?",FALSE,0,NA,2016-03-14 09:21:47,FALSE,NA,"709308534119215104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","missfortuneee_",0,FALSE,FALSE,NA,NA
"1585","Mga igkasi ko Samar ngan Leyte! Please! Support Mayor #duterte in #tacloban #duterteforpresident #phVoteDuterte<ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD> https://t.co/lQuBj0qHfT",FALSE,3,NA,2016-03-14 09:21:36,FALSE,NA,"709308486191063040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","im_yours05",1,FALSE,FALSE,NA,NA
"1586","So much hate for UP student who just wants Duterte @RRD_Davao to answer a question, you'd think Joffrey Baratheon was a popular kid.",FALSE,1,NA,2016-03-14 09:21:12,FALSE,NA,"709308386043502593",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","victorcrumb",0,FALSE,FALSE,NA,NA
"1587","@chiyatandoc sarap i-offer kay duterte eh lol",FALSE,1,"chiyatandoc",2016-03-14 09:20:32,FALSE,"709307253673754624","709308219114393600","39218604","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karyatides_",0,FALSE,FALSE,NA,NA
"1588","TAMA SI DUTERTE! #Duterte2016 #DuterteCayetano2016 #TapangAtMalasakit #TunayNaPagbabago https://t.co/jy6y8kIURg via @YouTube",FALSE,2,NA,2016-03-14 09:19:51,FALSE,NA,"709308049500975104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OrmanPogi",0,FALSE,FALSE,NA,NA
